Index       TIME             V(VREF)     
214      8.00456428e-06    3.82390909e-01
215      8.00456430e-06    3.82390829e-01
216      8.00456433e-06    3.82390669e-01
217      8.00456440e-06    3.82390350e-01
218      8.00456453e-06    3.82389712e-01
219      8.00456479e-06    3.82388436e-01
220      8.00456532e-06    3.82385884e-01
221      8.00456638e-06    3.82380779e-01
222      8.00456850e-06    3.82370570e-01
223      8.00457274e-06    3.82350153e-01
224      8.00457698e-06    3.82329737e-01
225      8.00457804e-06    3.82324633e-01
226      8.00457857e-06    3.82322081e-01
227      8.00457884e-06    3.82320805e-01
228      8.00457937e-06    3.82318253e-01
229      8.00457943e-06    3.82317934e-01
230      8.00457947e-06    3.82317744e-01
231      8.00457950e-06    3.82317633e-01
232      8.00457951e-06    3.82317605e-01
233      8.00457952e-06    3.82317590e-01
234      8.00457953e-06    3.82317577e-01
235      8.00457956e-06    3.82317662e-01
236      8.00457963e-06    3.82318270e-01
237      8.00457966e-06    3.82318857e-01
238      8.00457967e-06    3.82318936e-01
239      8.00457967e-06    3.82319014e-01
240      8.00457968e-06    3.82319093e-01
241      8.00457969e-06    3.82319250e-01
242      8.00457970e-06    3.82319564e-01
243      8.00457974e-06    3.82320192e-01
244      8.00457981e-06    3.82321448e-01
245      8.00457995e-06    3.82323961e-01
246      8.00458023e-06    3.82328986e-01
247      8.00458079e-06    3.82339037e-01
248      8.00458192e-06    3.82359137e-01
249      8.00458417e-06    3.82399337e-01
250      8.00458867e-06    3.82479734e-01
251      8.00459318e-06    3.82560126e-01
252      8.00459768e-06    3.82640513e-01
253      8.00460218e-06    3.82720897e-01
254      8.00460615e-06    3.82791704e-01
255      8.00461011e-06    3.82862507e-01
256      8.00461805e-06    3.83004103e-01
257      8.00462598e-06    3.83145685e-01
258      8.00463391e-06    3.83287253e-01
259      8.00464184e-06    3.83428807e-01
260      8.00464978e-06    3.83570347e-01
261      8.00466564e-06    3.83853384e-01
262      8.00468151e-06    3.84136365e-01
263      8.00469737e-06    3.84419289e-01
264      8.00471324e-06    3.84702156e-01
265      8.00474497e-06    3.85267721e-01
266      8.00477670e-06    3.85833060e-01
267      8.00477869e-06    3.85868386e-01
268      8.00477968e-06    3.85886049e-01
269      8.00478059e-06    3.85902354e-01
270      8.00478105e-06    3.85910507e-01
271      8.00478128e-06    3.85914586e-01
272      8.00478145e-06    3.85917600e-01
273      8.00478156e-06    3.85919531e-01
274      8.00478160e-06    3.85920141e-01
275      8.00478163e-06    3.85920647e-01
276      8.00478170e-06    3.85921585e-01
277      8.00478184e-06    3.85923019e-01
278      8.00478211e-06    3.85924123e-01
279      8.00478224e-06    3.85923461e-01
280      8.00478227e-06    3.85923355e-01
281      8.00478229e-06    3.85923249e-01
282      8.00478231e-06    3.85923144e-01
283      8.00478235e-06    3.85922932e-01
284      8.00478244e-06    3.85922509e-01
285      8.00478261e-06    3.85921663e-01
286      8.00478296e-06    3.85919970e-01
287      8.00478366e-06    3.85916586e-01
288      8.00478505e-06    3.85909816e-01
289      8.00478784e-06    3.85896278e-01
